Kennewick.O3,Kennewick.OZONE_AIRPACT4,WRF_4km_BCAA.Surface_pres_Pa,WRF_4km_BCAA.PBL_m,WRF_4km_BCAA.T_K,WRF_4km_BCAA.windspeed_m_per_s,WRF_4km_BCAA.WindDir_deg,WRF_4km_BCAA.RH_pct,Wildfire_smoke_caused_excess_ozone_YN,date
10.0,12.2,99743.0,163.0541,288.18102999999996,2.1649015,189.80333000000002,64.8,N,2017-05-03 06:00:00
13.0,11.9,99757.125,91.56266,289.6245,1.3842998,246.6289,62.4,N,2017-05-03 07:00:00
15.0,15.7,99738.72,569.3396,291.67868,0.6848032,3.053009,56.1,N,2017-05-03 08:00:00
22.0,17.3,99733.44,1111.4581,293.87146,0.32682452,69.272125,51.5,N,2017-05-03 09:00:00
35.0,19.7,99714.07,1182.1486,295.25397000000004,0.3629739,63.41174300000001,49.8,N,2017-05-03 10:00:00
41.0,22.2,99675.28,1198.913,296.67548,0.73525476,355.18942000000004,47.0,N,2017-05-03 11:00:00
42.0,25.0,99623.445,1270.07,297.92062000000004,2.1276507000000002,43.568146,43.9,N,2017-05-03 12:00:00
42.0,28.8,99532.7,1349.6552,298.90814,2.825791,43.86972,41.2,N,2017-05-03 13:00:00
41.0,32.2,99459.18,1388.1470000000002,299.6117,2.7512448,50.160309999999996,39.5,N,2017-05-03 14:00:00
42.0,33.0,99386.16,1409.4346,300.11734,2.857733,52.13513,37.7,N,2017-05-03 15:00:00
44.0,31.2,99321.71,1376.0703,300.3117,2.7816080000000003,51.116394,36.6,N,2017-05-03 16:00:00
42.0,30.1,99275.58,1306.4235,300.1834,2.4958575,68.15442,36.6,N,2017-05-03 17:00:00
39.0,23.8,99223.2,687.9016,299.40372,2.4793773,91.61896999999999,38.6,N,2017-05-03 18:00:00
23.0,13.0,99209.445,129.62163,297.62273999999996,1.4411133999999999,89.76364000000001,43.6,N,2017-05-03 19:00:00
18.0,10.3,99220.305,120.99443000000001,296.31995,1.6728207,85.600525,46.7,N,2017-05-03 20:00:00
16.0,13.4,99188.94,90.9661,295.05206,1.6388413,106.71361999999999,50.5,N,2017-05-03 21:00:00
15.0,17.7,99187.64,68.17196,293.76138,1.8701470000000002,125.18631,54.2,N,2017-05-03 22:00:00
14.0,19.3,99192.01,20.733154000000003,293.40866,1.1760329999999999,122.78381,54.7,N,2017-05-03 23:00:00
12.0,18.0,99178.984,58.473515,289.9308,2.459449,277.63947,72.8,N,2017-05-04 00:00:00
11.0,16.7,99150.09,64.437706,288.7162,2.633705,282.56436,79.1,N,2017-05-04 01:00:00
15.0,18.6,99128.945,71.59851,288.17792000000003,2.6043367,281.28052,81.6,N,2017-05-04 02:00:00
20.0,17.2,99096.01,64.75811999999999,287.52292,2.2845454,277.66718,84.2,N,2017-05-04 03:00:00
15.0,17.4,99114.64,87.322845,287.12436,3.0611857999999996,273.7398,85.0,N,2017-05-04 04:00:00
8.0,14.5,99080.24,115.19466399999999,286.42636,2.5840982999999995,278.732,87.8,N,2017-05-04 05:00:00
15.0,15.4,99063.31,129.69519,288.39047,2.6767364,301.49115,76.8,N,2017-05-04 06:00:00
18.0,17.7,99067.195,263.9735,290.45737,2.8546484,318.26407,67.4,N,2017-05-04 07:00:00
23.0,20.4,99010.03,356.4337,292.57837,3.2302837,329.5038,59.2,N,2017-05-04 08:00:00
28.0,23.4,98953.055,446.3312,294.8652,3.5448345999999997,339.0168,51.8,N,2017-05-04 09:00:00
33.0,27.8,98866.4,469.7074,297.06808,3.4609300000000003,347.87396,45.9,N,2017-05-04 10:00:00
36.0,32.0,98750.58,596.0054299999999,299.26093,3.0198486,352.04782,40.2,N,2017-05-04 11:00:00
40.0,36.7,98637.75,621.3902,301.44064,2.642368,355.1318,35.6,N,2017-05-04 12:00:00
43.0,42.3,98473.49,646.5007,303.5437,2.569624,357.2984,30.9,N,2017-05-04 13:00:00
43.0,45.6,98321.33,687.2935,305.24908,2.4161900000000003,353.68347,27.2,N,2017-05-04 14:00:00
44.0,46.1,98162.06,728.4230299999999,306.64493,2.5012437999999997,6.6479490000000006,23.9,N,2017-05-04 15:00:00
41.0,40.1,97988.9,1041.7898,307.66345,2.2955956000000004,36.6373,20.6,N,2017-05-04 16:00:00
35.0,34.9,97861.47,958.9958,307.7952,5.361059,85.30237,18.8,N,2017-05-04 17:00:00
22.0,33.6,97894.695,377.2821,303.0611,5.401667,289.44788,42.7,N,2017-05-04 18:00:00
32.0,30.1,97735.03,119.271904,301.44903999999997,1.496292,349.96866,35.3,N,2017-05-04 19:00:00
29.0,32.6,97752.06,188.66736,298.8355,3.9342072,299.49692000000005,41.8,N,2017-05-04 20:00:00
27.0,34.1,97727.93,180.01981999999998,297.51144,3.2744447999999995,234.49013,44.0,N,2017-05-04 21:00:00
